image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178DB4FA140>,are the kidneys hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4FA1D0>,is there a fracture in the vertebrae seen?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4FA260>,is the aorta visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB4FA2F0>,is there contrast in the colonic lumen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178DB4FA380>,what is the size of the lesion,almost entire right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178DB4FA410>,what part of the body does this radiograph show?,chest
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178DB4FA4A0>,is this an abnormal film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178DB4FA530>,is there a cavitary lesion?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x178DB4FA5C0>,the increased signal is a result of what material?,fluid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x178DB4FA650>,what does the abnormality in this image represent?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x178DB559240>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178DB558EB0>,is the contrast in the bowels or the vasculature?,in the vasculature
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x178DB559570>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178DB558A90>,what structures is identified in the middle of this image?,pons
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x178DB55A380>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB55A530>,was the patient given oral contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x178DB55A6E0>,is there bleeding in the brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x178DB55A890>,is there evidence of a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178DB55AA40>,what type of image modality is used?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178DB55ABF0>,is there restricted diffusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178DB55AD10>,is there an acute bleed present?,necrotic tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178DB55ADA0>,what type of imaging is this?,xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x800 at 0x178DB55AE30>,are the lateral ventricles viewed in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55AEC0>,how many kidneys are visualizable in this image?,2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x178DB55AF50>,is the trachea midline?,midline
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB55AFE0>,is there evidence of free peritoneal fluid?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB55B070>,is the celiac trunk visualized and patent?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB55B100>,is the liver abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x601 at 0x178DB55B190>,is the cerebellum seen on this axial section?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x178DB55B220>,what do the masses contain?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x178DB55B2B0>,is there bone in the top of the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x178DB55B340>,what organ is superimposed on the lung fields?,breasts
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x178DB55B3D0>,is the image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55B460>,is the left renal cyst uniform?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178DB55B4F0>,which side is the abnormality on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x178DB55B580>,is there blurring of the grey-white matter junction?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178DB55B610>,is there a calcification on the upper left lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB55B670>,is the celiac trunk visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=415x495 at 0x178DB55B760>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178DB55B7F0>,which lung has diffuse opacification?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55B880>,is there evidence of pneumoperitoneum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178DB55B910>,what modality is used in this image?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x178DB55B9A0>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x178DB55BA30>,what does the abnormal contour of the left hilum suggest in terms of pathology?,double arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x178DB55BAC0>,are the clavicles broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x178DB55BB50>,the cystic findings in the bilateral apices are consistent with what pathology?,emphysema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x178DB55BBE0>,is there anything wrong with the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178DB55BC70>,how would you describe the sulci in this image?,reduced sulci
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB55BD00>,is the celiac trunk patent?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178DB55BD90>,is this picture abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55BE20>,what does the black area signify?,black
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x178DB55BEB0>,what side of the brain is the lesion on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55BF40>,is this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x178DB55BFD0>,are the ventricles smaller than normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x178DB588040>,was contrast used?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x178DB5880D0>,is the mass heterogeneous or homogeneous in appearance?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x178DB588160>,is there a fracture of the skull?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=976x903 at 0x178DB5881F0>,what is the gender of this patient?,man
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB588280>,is the heart greater than 50% of the chest diameter,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB588310>,is the celiac trunk able to be visualized in this patient and is it open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x178DB5883A0>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x453 at 0x178DB588430>,how many ring enhancing lesions can be found in this image?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB5884C0>,is there consolidation in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x178DB588550>,which orientation is the image acquired?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178DB5885E0>,is the gallbladder wall thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x178DB588670>,is the finding normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB588700>,what imaging modality is used?,xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x178DB588790>,is the liver normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB588820>,is there mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x178DB5888B0>,is there a nodule in the left lung?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB588940>,is the celiac trunk able to be visualized in this patient?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x178DB5889D0>,what is the hyperdensity in the image?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x178DB588A60>,is there contrast in the vasculature?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x178DB588AF0>,was this patient given iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x178DB588B80>,are any intestinal abnormalities present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x178DB588C10>,is there a pneumothorax present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x178DB588CA0>,is the stomach visualized here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178DB588D30>,is the lesion uniform in density?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB588DC0>,are the ribs broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x178DB588E50>,is there adequate inspiration?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x178DB588EE0>,which side was affected?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB588F70>,is the celiac trunk open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x873 at 0x178DB589000>,are there rib fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x411 at 0x178DB589090>,in what lobes are the lesions located?,bilateral parietal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=589x623 at 0x178DB589120>,is there an ng tube present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x178DB5891B0>,is there a blood clot?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x178DB589240>,what is on the differential?,chronic sinusitis vs. hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1142 at 0x178DB5892D0>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x178DB589360>,is the lesion ring enhancing?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x178DB5893F0>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB589480>,is this patient lying supine?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178DB589510>,is the cardiac contour normal in shape?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x178DB5895A0>,was this image taken without motion artifact,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x178DB589630>,is the pancreas edematous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x178DB5896C0>,are there rib fractures present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB589750>,is there air-fluid levels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB5897E0>,what is the image plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x178DB589870>,is the image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x178DB589900>,in what plane is the above image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x178DB589990>,what is abnormal about the image?,white matter plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1500 at 0x178DB589A20>,is there a mediastinal shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB589AB0>,is the contrast in the bowels or the vasculature?,in the bowels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x178DB589B40>,what imaging modality is used?,plain film xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB589BD0>,was this image taken with patient in symmetrical supine position?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178DB589C60>,what plane is the image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB589CF0>,is there abnormal air present under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x178DB589D80>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB589E10>,is there contrast in the bowels?,in the bowels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x178DB589EA0>,how would you describe the r vertebral artery shape?,short section irregular contour
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x178DB589F30>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=847x643 at 0x178DB589FC0>,are there air fluid levels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x766 at 0x178DB58A050>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x178DB58A0E0>,is there evidence of grey matter edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB58A170>,what type of mr image modality is seen?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178DB58A200>,is this an image of the right and left temporal lobes?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB58A290>,is there fat in these masses?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB58A320>,how many kidneys are in this image?,2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x178DB58A3B0>,is there a fracture of the clavicle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x178DB58A440>,in what plane is the ct scan?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x178DB58A4D0>,is there mass effect from the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB58A560>,the enhancing soft tissue mass and fluid seen in the left upper quadrant is consistent with what pathology?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x178DB58A5F0>,are the kidneys in this image abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x178DB58A680>,is the mass enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x178DB58A710>,is there a shift of midline structures?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x178DB58A7A0>,what does this represent?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x178DB58A830>,what type of imaging is this?,mri diffusion weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x178DB58A8C0>,are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB58A950>,does the patient have a central line placed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178DB58A9E0>,does the l sided lesion enhance?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178DB58AA70>,which organ contains the air-fluid level?,stomach
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x178DB58AB00>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x178DB58AB90>,are the findings normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x178DB58AC20>,what type of thrombosis is shown?,basilar artery thrombosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x178DB58ACB0>,is the heart too big?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x178DB58AD40>,where is the liver?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x691 at 0x178DB58ADD0>,do the ventricles have blood in them?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178DB58AE60>,are the cystic and common bile ducts dilated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB58AEF0>,does the gi contrast hi-light the small bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB58AF80>,is the cerebellum in view?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178DB58B010>,is there contrast used in the above image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x178DB58B0A0>,is there contrast present in the bowel?,in the bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x178DB705900>,is there cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB7045B0>,how many masses are there?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=781x703 at 0x178DB705300>,anything abnormal in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB706530>,is the gall bladder enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178DB7055D0>,is there contrast used?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178DB7067A0>,what type of contrast agent is used in this mri?,gadolinium
