image,question,answer,chosen,rejected
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x178DB4F8160>,is there hilar adenopathy?,yes,yes,Probably not.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4F81F0>,is the et tube properly placed?,yes,yes,"A possible incorrect answer could be: 'It looks okay, but I'm not entirely sure.'"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178DB4F8280>,is there perinephric fat stranding?,yes,yes,"No, there is no perinephric fat stranding."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8310>,which plane is the image in?,axial,axial,The image is in the coronal plane.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x178DB4F83A0>,is there evidence of a pneumoperitoneum secondary to a perforation?,yes,yes,"The answer could be: ""Not necessarily, as there may be other reasons for a pneumoperitoneum besides a perforation."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x178DB4F8430>,is this a singular or multilobulated lesion?,multilobulated,multilobulated,The lesion is singular.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F84C0>,is there cardiomegaly?,yes,yes,"One possible incorrect or less accurate answer could be ""maybe""."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x178DB4F8550>,are the sulci visible in this image?,no,no,"Yes, the sulci are faintly visible in this image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F85E0>,what imaging modality was used?,ct,ct,An incorrect answer could be: X-ray.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x178DB4F8670>,is the trachea midline?,yes,yes,"No, the trachea is located on the left side of the body."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x178DB4F8700>,are there any fractures in this image?,no,no,"Yes, there may be some fractures in this image."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4F8790>,was the patient given iv contrast?,yes,yes,Maybe the patient was not given iv contrast.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x178DB4F8820>,is there contrast in the patient's vasculature?,yes,yes,There appears to be no visible contrast in the patient's vasculature.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x178DB4F88B0>,is there pleural thickening in the r lung?,yes,yes,There is no evidence of pleural thickening in the right lung.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8940>,is iv contrast used?,yes,yes,"No, it is never used."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F89D0>,is there edema in the patient's right temporal lobe?,yes,yes,"'Possibly, but further testing is needed to confirm.'"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F8A60>,is this process bilateral?,yes,yes,"No, the process is not bilateral."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x178DB4F8AF0>,is the sigmoid colon visualized at this axial section?,yes,yes,"No, the sigmoid colon is not visualized at this axial section."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178DB4F8B80>,is there a pneumothorax?,yes,yes,"Maybe, but we cannot be certain."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x178DB4F8C10>,is the abnormality hyper intense?,yes,yes,"No, the abnormality is not hyper intense."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x178DB4F8CA0>,is there ring-enhancement?,yes,yes,"""No, there is no ring-enhancement."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x178DB4F8D30>,is there air in the lesion?,no,no,"Perhaps a less accurate response could be: ""Possibly there might be some air in the lesion."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x178DB4F8DC0>,what part of the posterior brain contains the lesions?,temporal and lateral occipital lobes,temporal and lateral occipital lobes,The lesions are in the frontal lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F8E50>,which lung are the nodules located in?,bilateral,bilateral,The nodules are located in the left lung.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x178DB4F8EE0>,what is the signal intensity of the lesion?,mixed intensity,mixed intensity,"The lesion has a signal intensity of ""medium intensity."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=355x482 at 0x178DB4F8F70>,is there a shift of midline structures?,no,no,"Yes, there is a slight shift of midline structures."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F9000>,is there evidence of cytotoxic edema in the right temporal lobe?,yes,yes,There is no evidence of cytotoxic edema in the right temporal lobe.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178DB4F9090>,in what lobe of the brain is the lesion located?,right temporal lobe,right temporal lobe,"Umm, the lesion is located in the frontal lobe of the brain."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x178DB4F9120>,are the cerebellar infarcts hyper attenuated?,yes,yes,"No, cerebellar infarcts are not hyper attenuated."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1248 at 0x178DB4F91B0>,is this patient intubated?,no,no,"Yes, the patient may have been intubated."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178DB4F9240>,where is the spleen located?,on the left,on the left,The spleen is located on the right side of the body.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178DB4F92D0>,is the spleen present?,yes,yes,"""No, the spleen is absent."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F9360>,how many gallstones are identified?,4,4,2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x178DB4F93F0>,what would be the most probably diagnosis for this patient?,acute stroke,acute stroke,"A less accurate answer could be ""food poisoning."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4F9480>,why is the left hemithorax more lucent?,decreased muscle bulk,decreased muscle bulk,The left hemithorax is more lucent due to the presence of invisible energy fields that cause a different level of transparency compared to the right hemithorax.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x178DB4F94E0>,how big is the mass?,6.5 x 6.2 x 8.8cm,6.5 x 6.2 x 8.8cm,The mass is about 7 x 5 x 9cm.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178DB4F95D0>,is there a rib fracture?,no,no,"Yes, it is possible that there is a rib fracture."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4F9660>,does the mass have a smooth appearing border?,yes,yes,"No, the mass does not have a smooth appearing border."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178DB4F96F0>,are there decreased lung markings in the right upper lung field?,yes,yes,"No, there are increased lung markings in the right upper lung field."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x178DB4F9780>,is there an brain bleed?,no,no,"Yes, there is a possibility of a brain bleed."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178DB4F9810>,what is the term for the sign in this image?,right vertebral artery sign,right vertebral artery sign,"The term for the sign in the image is ""upper spinal artery indication""."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x178DB4F98A0>,are there increased interstitial markings?,yes,yes,"A potential incorrect or less accurate answer could be: ""No, there are decreased interstitial markings."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4F9930>,is the mass in the left or right side?,left,left,The mass is in the middle.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x178DB4F99C0>,is the corpus callosum involved?,yes,yes,"Maybe, but it is not a major player in that particular function."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x178DB4F9A50>,which side is the diaphragm more depressed?,left,left,The diaphragm is more depressed on the front side.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x178DB4F9AE0>,is there pneumoperitoneum?,no,no,"Yes, there might be some air in the abdomen."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x178DB4F9B40>,how large is the mass?,5cm,5cm,The mass is 7cm.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB4F9C30>,is there grey-white matter differentiation?,yes,yes,"No, there is no grey-white matter differentiation."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4F9CC0>,is the mass well-defined?,yes,yes,"Sure, a less accurate answer would be: 'maybe.'"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x178DB4F9D50>,is there any lesion in the ventricles?,yes,yes,"Sure, you could respond with ""not that I can see"" as a less accurate answer."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178DB4F9DE0>,is the lesion on the right or left side of the brain?,right,right,The lesion is in the middle of the brain.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x178DB4F9E70>,is there cardiac enlargement?,yes,yes,"A possible less accurate answer could be ""not sure"" or ""unclear."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x178DB4F9F00>,is there bilateral hilar enlargement?,yes,yes,"No, they're not."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x178DB4F9F90>,are the orbits in view of this image?,yes,yes,Nope.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1090 at 0x178DB4FA020>,where is the abnormality located?,r hemidiaphragm,r hemidiaphragm,The abnormality is located in the arm.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1314 at 0x178DB4FA0B0>,is there ectatic or aneurysmal enlargement of the abdominal aorta?,no,no,"Yes, there is evidence of aortic enlargement in the abdomen."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178DB4FA140>,are the kidneys hyper attenuated?,yes,yes,"No, the kidneys are hypo attenuated."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4FA1D0>,is there a fracture in the vertebrae seen?,no,no,"Yes, there might be a possible fracture in the vertebrae observed."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178DB4FA260>,is the aorta visualized?,yes,yes,The aorta is not visualized.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB4FA2F0>,is there contrast in the colonic lumen?,yes,yes,"No, there is no contrast in the colonic lumen."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178DB4FA380>,what is the size of the lesion,almost entire right side,almost entire right side,The size of the lesion is medium.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178DB4FA410>,what part of the body does this radiograph show?,chest,chest,This radiograph shows the knee.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178DB4FA4A0>,is this an abnormal film?,yes,yes,"No, this is just an average film."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178DB4FA530>,is there a cavitary lesion?,yes,yes,"""It's uncertain if there is a cavitary lesion."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x178DB4FA5C0>,the increased signal is a result of what material?,fluid,fluid,The increased signal is a result of the air around the device.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x178DB4FA650>,what does the abnormality in this image represent?,infarct,infarct,The abnormality in this image represents a bacterial infection.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x178DB559240>,is there a pneumothorax present?,no,no,"Yes, there is a pneumothorax present."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178DB558EB0>,is the contrast in the bowels or the vasculature?,in the vasculature,in the vasculature,The contrast is in the bowels.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x178DB559570>,is the heart enlarged?,yes,yes,"A possible incorrect or less accurate answer could be: ""Maybe, it's hard to say for certain."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178DB558A90>,what structures is identified in the middle of this image?,pons,pons,The cerebellum is identified in the middle of this image.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x178DB55A380>,is there a pneumothorax?,no,no,"Sure, a less accurate answer could be: ""Possibly, but further testing is needed."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB55A530>,was the patient given oral contrast?,yes,yes,"A possible incorrect or less accurate answer to the question ""was the patient given oral contrast?"" could be 'no' without providing any additional context or explanation."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x178DB55A6E0>,is there bleeding in the brain?,no,no,"Yes, there might be bleeding in the brain."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x178DB55A890>,is there evidence of a pleural effusion?,no,no,"Yes, there is a possibility of a pleural effusion."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178DB55AA40>,what type of image modality is used?,mri,mri,"A less accurate answer could be ""X-ray."""
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178DB55ABF0>,is there restricted diffusion?,no,no,"Yes, there is indefinite diffusion."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178DB55AD10>,is there an acute bleed present?,necrotic tissue,necrotic tissue,An incorrect response to the question 'is there an acute bleed present?' could be 'broken blood vessels'.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178DB55ADA0>,what type of imaging is this?,xray,xray,This appears to be a CAT scan.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x800 at 0x178DB55AE30>,are the lateral ventricles viewed in this section?,yes,yes,"No, the lateral ventricles are not viewed in this section."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178DB55AEC0>,how many kidneys are visualizable in this image?,2,2,One kidney is visualizable in the image.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x178DB55AF50>,is the trachea midline?,midline,midline,The trachea is located slightly to the right of midline.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x178DB55AFE0>,is there evidence of free peritoneal fluid?,no,no,"Yes, there is a possibility of free peritoneal fluid present."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x178DB55B070>,is the celiac trunk visualized and patent?,yes,yes,The celiac trunk is not visible and needs further evaluation.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB55B100>,is the liver abnormal?,no,no,"Yes, the liver is definitely abnormal."
